iter	Logloss
0	0.6539881897
1	0.6140501912
2	0.5735100301
3	0.5459753418
4	0.5200987752
5	0.4877680461
6	0.4580286153
7	0.4385402425
8	0.4210540517
9	0.4047938283
10	0.386740977
11	0.3748799133
12	0.3565538279
13	0.3411375936
14	0.3269775391
15	0.3168747203
16	0.305426534
17	0.2974470011
18	0.2892250061
19	0.2801267751
20	0.2717794291
21	0.2650738271
22	0.2596341451
23	0.2535240173
24	0.2475605265
25	0.2426475525
26	0.2360085042
27	0.2320311991
28	0.2273860423
29	0.2237233734
30	0.2198701223
31	0.2157456207
32	0.2125558853
33	0.2093414561
34	0.2070383072
35	0.2055490621
36	0.2038958104
37	0.2010990143
38	0.1990221405
39	0.1962992859
40	0.194046936
41	0.1917710114
42	0.1906026586
43	0.1894406382
44	0.1879745738
45	0.1860746257
46	0.1842866007
47	0.1826220194
48	0.1820380656
49	0.1807117716
50	0.1791245524
51	0.1776701355
52	0.1766040929
53	0.1756639481
54	0.1750958633
55	0.1744837825
56	0.173533961
57	0.1723600515
58	0.1716758855
59	0.170742391
60	0.1700714874
61	0.1690608851
62	0.1681681569
63	0.1678869502
64	0.1670082092
65	0.1664483388
66	0.1661444219
67	0.1657680003
68	0.1651767858
69	0.1647688548
70	0.1643924713
71	0.1641555023
72	0.1638958104
73	0.1634039307
74	0.1631536865
75	0.1625708771
76	0.1624090068
77	0.162041893
78	0.1616211828
79	0.1610912196
80	0.1606264242
81	0.1604821396
82	0.1600566228
83	0.1597990163
84	0.1596338654
85	0.159305954
86	0.1589441045
87	0.1588169098
88	0.15860569
89	0.1584941355
90	0.1582199351
91	0.1579957072
92	0.1576995722
93	0.1575000636
94	0.157326533
95	0.157069486
96	0.1568433889
97	0.1566781108
98	0.1564865621
99	0.1562715022
100	0.1561668396
101	0.155951767
102	0.1557279078
103	0.1556015269
104	0.1554659526
105	0.1552981695
106	0.1551599121
107	0.155030899
108	0.1548789978
109	0.1547706095
110	0.154606781
111	0.1544905345
112	0.1543608348
113	0.1541919708
114	0.1540799205
115	0.1539631017
116	0.1538085683
117	0.1537701162
118	0.1536778768
119	0.1535818736
120	0.1534387334
121	0.1533307139
122	0.1532503128
123	0.1531647491
124	0.1530738068
125	0.1529714457
