iter	Passed	Remaining
0	15	15766
1	29	14789
2	44	14696
3	59	14704
4	75	15023
5	92	15351
6	104	14850
7	133	16506
8	160	17627
9	188	18686
10	205	18462
11	219	18097
12	253	19211
13	279	19702
14	296	19470
15	316	19482
16	347	20106
17	366	20000
18	393	20299
19	414	20316
20	436	20337
21	458	20396
22	479	20385
23	499	20297
24	521	20339
25	542	20330
26	566	20416
27	581	20196
28	599	20075
29	626	20255
30	650	20343
31	674	20418
32	694	20342
33	720	20465
34	737	20337
35	756	20260
36	777	20230
37	798	20215
38	816	20115
39	838	20118
40	859	20102
41	887	20239
42	909	20232
43	929	20194
44	946	20095
45	967	20065
46	991	20112
47	1006	19969
48	1018	19769
49	1045	19860
50	1061	19755
51	1077	19641
52	1089	19473
53	1111	19472
54	1126	19355
55	1141	19237
56	1158	19169
57	1172	19046
58	1188	18955
59	1201	18824
60	1214	18688
61	1244	18831
62	1274	18952
63	1304	19073
64	1339	19266
65	1390	19675
66	1433	19962
67	1470	20148
68	1493	20153
69	1509	20059
70	1531	20043
71	1548	19962
72	1566	19890
73	1587	19863
74	1635	20166
75	1653	20100
76	1665	19968
77	1685	19923
78	1709	19930
79	1736	19968
80	1760	19973
81	1778	19912
82	1793	19819
83	1807	19706
84	1825	19653
85	1846	19619
86	1864	19571
87	1882	19507
88	1902	19471
89	1918	19396
90	1934	19318
91	1958	19329
92	1972	19239
93	1988	19169
94	2007	19123
95	2024	19067
96	2041	19000
97	2057	18938
98	2068	18828
99	2080	18725
100	2106	18746
101	2124	18707
102	2144	18675
103	2162	18629
104	2179	18575
105	2195	18514
106	2210	18449
107	2232	18440
108	2250	18398
109	2266	18334
110	2285	18300
111	2305	18278
112	2319	18209
113	2339	18184
114	2355	18124
115	2369	18060
116	2383	17987
117	2393	17889
118	2409	17834
119	2426	17796
120	2447	17777
121	2459	17701
122	2472	17630
123	2490	17597
124	2506	17546
125	2523	17503
126	2541	17472
127	2561	17450
128	2578	17408
129	2594	17362
130	2609	17308
131	2621	17236
132	2637	17195
133	2652	17143
134	2668	17098
135	2685	17058
136	2710	17074
137	2718	16982
138	2732	16924
139	2743	16850
140	2756	16790
141	2774	16761
142	2787	16706
143	2802	16659
144	2828	16675
145	2845	16646
146	2860	16599
147	2877	16563
148	2895	16536
149	2911	16500
150	2929	16468
151	2952	16471
152	2969	16436
153	2980	16373
154	2999	16350
155	3015	16315
156	3032	16282
157	3048	16248
158	3069	16235
159	3088	16215
160	3102	16169
161	3114	16108
162	3124	16045
163	3138	16000
164	3154	15965
165	3169	15922
166	3185	15888
167	3202	15861
168	3219	15830
169	3236	15803
170	3252	15766
171	3267	15727
172	3281	15688
173	3294	15639
174	3310	15606
175	3333	15608
176	3353	15593
177	3373	15578
178	3386	15532
179	3400	15491
180	3415	15456
181	3430	15418
182	3449	15398
183	3465	15370
184	3482	15341
185	3497	15304
186	3511	15267
187	3527	15234
188	3545	15211
189	3560	15180
190	3581	15171
191	3599	15146
192	3616	15122
193	3635	15102
194	3655	15089
195	3673	15068
196	3685	15021
197	3698	14981
198	3720	14975
199	3737	14949
200	3752	14915
201	3764	14870
202	3781	14845
203	3798	14822
204	3816	14800
205	3831	14766
206	3843	14725
207	3864	14714
208	3882	14693
209	3900	14672
210	3919	14657
211	3936	14633
212	3949	14594
213	3966	14568
214	3993	14580
215	4009	14551
216	4023	14516
217	4042	14499
218	4057	14470
219	4072	14439
220	4086	14403
221	4107	14394
222	4129	14388
223	4146	14363
224	4160	14331
225	4174	14295
226	4194	14284
227	4212	14261
228	4230	14243
229	4245	14213
230	4262	14188
231	4278	14161
232	4295	14141
233	4321	14146
234	4335	14113
235	4352	14089
236	4371	14072
237	4388	14051
238	4406	14029
239	4420	13997
240	4436	13973
241	4451	13943
242	4466	13913
243	4482	13887
244	4502	13873
245	4520	13856
246	4538	13836
247	4551	13801
248	4564	13768
249	4589	13767
250	4605	13744
251	4624	13726
252	4640	13700
253	4676	13735
254	4695	13719
255	4710	13691
256	4723	13655
257	4738	13626
258	4756	13609
259	4776	13593
260	4794	13576
261	4805	13535
262	4820	13508
263	4846	13510
264	4860	13481
265	4878	13461
266	4895	13439
267	4913	13420
268	4927	13390
269	4940	13357
270	4954	13327
271	4973	13310
272	4990	13289
273	5006	13265
274	5021	13237
275	5036	13212
276	5053	13189
277	5064	13153
278	5085	13141
279	5101	13118
280	5116	13091
281	5131	13064
282	5147	13042
283	5165	13023
284	5185	13008
285	5199	12980
286	5216	12958
287	5236	12944
288	5256	12930
289	5278	12922
290	5292	12895
291	5311	12878
292	5322	12841
293	5336	12814
294	5353	12793
295	5371	12776
296	5395	12771
297	5418	12764
298	5434	12741
299	5460	12740
300	5490	12751
301	5513	12742
302	5532	12726
303	5555	12718
304	5566	12683
305	5579	12654
306	5595	12629
307	5613	12612
308	5640	12614
309	5653	12584
310	5669	12560
311	5691	12550
312	5710	12532
313	5726	12510
314	5741	12485
315	5758	12464
316	5778	12449
317	5793	12424
